ts,side,vol_ratio,aligned,outcome,mfe
2026-06-02 12:00:00-04:00,short,0.6712981515348018,False,target1r,1.05
2026-06-02 15:40:00-04:00,short,1.0732601411315996,False,stop,0.11
2026-06-03 11:20:00-04:00,short,0.9250322884425332,True,eod,0.96
2026-06-03 15:00:00-04:00,short,0.8215307979315786,False,target1r,1.04
2026-06-04 11:00:00-04:00,long,2.266893499185652,False,target1r,1.12
2026-06-04 11:45:00-04:00,short,0.5621040522046136,False,stop,0.1
2026-06-04 13:25:00-04:00,long,0.6573139650735458,True,eod,0.82
2026-06-08 10:35:00-04:00,long,0.4836455811294322,False,stop,0.75
2026-06-08 11:25:00-04:00,short,0.8560524678861297,False,target1r,1.19
2026-06-08 13:00:00-04:00,short,1.8745244148624272,True,target1r,1.04
2026-06-09 14:55:00-04:00,long,0.8372234320552417,False,stop,0.26
2026-06-10 10:40:00-04:00,short,0.3563458377033344,False,target1r,1.02
2026-06-10 13:40:00-04:00,short,0.949472045676858,True,eod,0.69
2026-06-11 14:45:00-04:00,long,0.5627346966062392,True,eod,0.84
2026-06-12 13:00:00-04:00,long,0.6579378421463834,True,eod,0.33
2026-06-12 13:55:00-04:00,short,1.2893930500820527,False,eod,0.8
2026-06-15 10:50:00-04:00,long,0.44184440041144063,True,eod,0.39
2026-06-15 11:45:00-04:00,long,1.0476976119266024,True,eod,0.11
2026-06-15 15:20:00-04:00,short,2.079201024248105,False,target1r,1.21
2026-06-17 12:20:00-04:00,long,0.5613665066110946,False,stop,0.09
2026-06-17 13:50:00-04:00,long,1.1598059757931476,False,stop,0.35
2026-06-18 10:15:00-04:00,long,0.3717129212226257,False,eod,0.75
2026-06-18 11:15:00-04:00,short,0.47431708878426937,False,stop,0.7
2026-06-18 12:35:00-04:00,long,0.2569817255795757,False,stop,0.6
2026-06-18 13:05:00-04:00,long,0.4218300164252547,True,stop,0.46
2026-06-18 13:55:00-04:00,short,0.9404488538764295,False,target1r,1.04
2026-06-18 14:30:00-04:00,short,1.1799088173640095,False,target1r,1.46
2026-06-22 11:35:00-04:00,long,0.7882607245620746,False,stop,0.71
2026-06-22 15:40:00-04:00,short,1.3613269499766372,True,stop,0.03
2026-06-23 11:50:00-04:00,long,1.0555289711274725,False,target1r,1.09
2026-06-23 12:40:00-04:00,long,0.8322130638034511,False,stop,0.16
2026-06-23 13:50:00-04:00,short,1.434842047070115,False,target1r,1.05
2026-06-24 12:30:00-04:00,short,0.8338276306751239,False,target1r,1.21
2026-06-24 15:50:00-04:00,long,2.200290707464257,False,eod,0.15
2026-06-25 10:50:00-04:00,long,0.5196950710869399,True,stop,0.0
2026-06-25 13:10:00-04:00,long,1.025135605436204,False,target1r,1.07
2026-06-26 11:20:00-04:00,long,0.8893993280049267,False,target1r,1.09
2026-06-26 13:05:00-04:00,long,1.051351155675893,True,stop,0.1
2026-06-26 14:15:00-04:00,short,1.0181661435166438,False,target1r,1.18
2026-06-29 11:35:00-04:00,long,0.5164719085114567,True,target1r,1.04
2026-06-29 12:30:00-04:00,short,0.5810074069232793,False,stop,0.11
2026-06-29 13:00:00-04:00,long,0.3943914594089771,True,target1r,1.02
2026-06-29 14:35:00-04:00,long,0.938982847960303,True,eod,0.36
2026-06-29 15:20:00-04:00,long,0.9586006882559147,True,eod,0.33
2026-06-30 11:55:00-04:00,long,1.0873309899135277,True,eod,0.76
2026-06-30 12:45:00-04:00,long,0.9290986067823436,True,eod,0.44
2026-06-30 14:15:00-04:00,long,0.8956084052026304,True,eod,0.66
2026-07-01 12:20:00-04:00,long,0.6199517552270523,True,stop,0.06
2026-07-02 12:20:00-04:00,short,0.8201215576307992,True,target1r,1.03
2026-07-02 15:00:00-04:00,short,0.8884037339235947,False,stop,0.18
2026-07-06 10:55:00-04:00,long,0.38164376207837963,True,eod,0.52
2026-07-06 11:25:00-04:00,long,1.486944095282248,True,eod,0.44
2026-07-07 11:35:00-04:00,short,0.5156338107471471,True,stop,0.08
2026-07-07 14:30:00-04:00,short,1.5789274030009615,False,target1r,1.5
2026-07-08 12:05:00-04:00,long,0.7025436127864924,False,target1r,1.16
2026-07-08 13:15:00-04:00,long,0.7707063918301609,False,eod,0.78
2026-07-09 11:40:00-04:00,long,0.6746483487234086,True,eod,0.63
2026-07-09 13:05:00-04:00,long,0.9991482901453317,True,eod,0.36
2026-07-10 12:45:00-04:00,long,1.2993057026506678,True,target1r,1.01
2026-07-10 15:00:00-04:00,long,3.765379656032854,True,eod,0.32
2026-07-13 11:40:00-04:00,short,0.5067945207291584,True,target1r,1.24
2026-07-13 12:15:00-04:00,short,1.5668515937223593,True,target1r,1.01
2026-07-13 13:50:00-04:00,short,0.8640204322190945,True,eod,0.78
2026-07-13 14:40:00-04:00,long,3.5056866363519674,False,stop,0.21
2026-07-14 12:30:00-04:00,long,0.6613678597769915,False,target1r,1.23
2026-07-14 13:20:00-04:00,long,0.8924313612821299,True,eod,0.24
2026-07-14 14:10:00-04:00,long,0.8422481811516949,True,eod,0.15
2026-07-14 15:20:00-04:00,long,0.7903116107048715,False,eod,0.14
2026-07-15 14:40:00-04:00,short,0.8067633343081712,False,eod,0.94
2026-07-16 13:35:00-04:00,short,1.1926050551723408,True,target1r,1.27
2026-07-17 12:45:00-04:00,long,0.5939980290295256,False,stop,0.2
2026-07-17 13:40:00-04:00,short,0.6371007380163951,False,target1r,1.17
2026-07-20 11:50:00-04:00,long,1.1064536449440785,False,stop,0.57
2026-07-20 13:50:00-04:00,long,0.843160560567944,False,stop,0.59
2026-07-21 12:00:00-04:00,long,0.8348563418891926,True,eod,0.34
2026-07-21 12:50:00-04:00,long,0.9815431404850199,True,eod,0.04
