available_from,as_of,currency,net_oi,pct3y
2018-12-27 22:30:00,2018-12-24,AUD,-0.2656147774294138,50.96153846153846
2019-01-03 22:30:00,2018-12-31,AUD,-0.21474662658868887,53.77358490566038
2019-01-11 22:30:00,2019-01-08,AUD,-0.2963302896231447,45.370370370370374
2019-01-18 22:30:00,2019-01-15,AUD,-0.30291836864947663,42.72727272727273
2019-01-25 22:30:00,2019-01-22,AUD,-0.29923827541571246,43.75
2019-02-01 22:30:00,2019-01-29,AUD,-0.26352632226826966,53.50877192982456
2019-02-08 22:30:00,2019-02-05,AUD,-0.295356165519529,47.41379310344828
2019-02-15 22:30:00,2019-02-12,AUD,-0.27088257697714047,51.69491525423729
2019-02-22 22:30:00,2019-02-19,AUD,-0.2868529596124529,47.5
2019-03-01 22:30:00,2019-02-26,AUD,-0.2738885227812601,51.63934426229508
2019-03-08 22:30:00,2019-03-05,AUD,-0.28736783449599007,45.96774193548387
2019-03-15 22:30:00,2019-03-12,AUD,-0.2679720125342638,54.76190476190476
2019-03-22 22:30:00,2019-03-19,AUD,-0.36452641485581044,21.09375
2019-03-29 22:30:00,2019-03-26,AUD,-0.3797710193741951,19.23076923076923
2019-04-05 22:30:00,2019-04-02,AUD,-0.37204661345008944,21.96969696969697
2019-04-12 22:30:00,2019-04-09,AUD,-0.37124768038423756,23.134328358208954
2019-04-19 22:30:00,2019-04-16,AUD,-0.33325276881300026,31.61764705882353
2019-04-26 22:30:00,2019-04-23,AUD,-0.35429161341067744,25.36231884057971
2019-05-03 22:30:00,2019-04-30,AUD,-0.36911114308413145,23.571428571428573
2019-05-10 22:30:00,2019-05-07,AUD,-0.35090017775973525,27.464788732394368
2019-05-17 22:30:00,2019-05-14,AUD,-0.38679325047408536,15.972222222222221
2019-05-24 22:30:00,2019-05-21,AUD,-0.36077534693610264,26.71232876712329
2019-05-31 22:30:00,2019-05-28,AUD,-0.3688704928051558,25.0
2019-06-07 22:30:00,2019-06-04,AUD,-0.37175112040457914,22.0
2019-06-14 22:30:00,2019-06-11,AUD,-0.3191427071555484,38.81578947368421
2019-06-21 22:30:00,2019-06-18,AUD,-0.36357980056165606,27.92207792207792
2019-06-28 22:30:00,2019-06-25,AUD,-0.402571308903066,13.461538461538462
2019-07-05 22:30:00,2019-07-02,AUD,-0.3621459312147781,29.746835443037973
2019-07-12 22:30:00,2019-07-09,AUD,-0.34010730884038437,39.375
2019-07-19 22:30:00,2019-07-16,AUD,-0.33332065375885983,40.123456790123456
2019-07-26 22:30:00,2019-07-23,AUD,-0.31875103803354926,43.292682926829265
2019-08-02 22:30:00,2019-07-30,AUD,-0.32788916975482857,41.566265060240966
2019-08-09 22:30:00,2019-08-06,AUD,-0.3118192593091904,48.214285714285715
2019-08-16 22:30:00,2019-08-13,AUD,-0.35827491358052815,30.0
2019-08-23 22:30:00,2019-08-20,AUD,-0.37110093098862124,22.674418604651162
2019-08-30 22:30:00,2019-08-27,AUD,-0.36821275158067474,25.862068965517242
2019-09-06 22:30:00,2019-09-03,AUD,-0.34086690686756194,38.06818181818182
2019-09-13 22:30:00,2019-09-10,AUD,-0.2907186531764964,60.1123595505618
2019-09-20 22:30:00,2019-09-17,AUD,-0.29033987193231536,60.55555555555556
2019-09-27 22:30:00,2019-09-24,AUD,-0.2931212392461087,58.79120879120879
2019-10-04 22:30:00,2019-10-01,AUD,-0.3041875072699779,51.630434782608695
2019-10-11 22:30:00,2019-10-08,AUD,-0.2780400262972417,66.12903225806451
2019-10-18 22:30:00,2019-10-15,AUD,-0.2904798516023529,60.1063829787234
2019-10-25 22:30:00,2019-10-22,AUD,-0.27980916030534353,64.73684210526316
2019-11-01 22:30:00,2019-10-29,AUD,-0.2625518104324705,72.39583333333333
2019-11-08 22:30:00,2019-11-05,AUD,-0.16599859984759402,74.74226804123711
2019-11-15 22:30:00,2019-11-12,AUD,-0.2548507765613974,71.93877551020408
2019-11-22 22:30:00,2019-11-19,AUD,-0.27397419167754095,65.15151515151516
2019-11-29 22:30:00,2019-11-26,AUD,-0.24586520374476206,73.5
2019-12-06 22:30:00,2019-12-03,AUD,-0.19605764470370451,74.75247524752476
2019-12-13 22:30:00,2019-12-10,AUD,-0.2028033675673293,74.01960784313725
2019-12-20 22:30:00,2019-12-17,AUD,-0.303431832395247,47.0873786407767
2019-12-27 22:30:00,2019-12-24,AUD,-0.2962839355625441,52.40384615384615
2020-01-03 22:30:00,2019-12-31,AUD,-0.23334043394905815,72.85714285714286
2020-01-10 22:30:00,2020-01-07,AUD,-0.17274738650555665,75.94339622641509
2020-01-17 22:30:00,2020-01-14,AUD,-0.14214072270488629,78.97196261682242
2020-01-24 22:30:00,2020-01-21,AUD,-0.13838024634709417,81.01851851851852
2020-01-31 22:30:00,2020-01-28,AUD,-0.17559867535301588,73.85321100917432
2020-02-07 22:30:00,2020-02-04,AUD,-0.23940040695359843,69.54545454545455
2020-02-14 22:30:00,2020-02-11,AUD,-0.1840160425397684,73.42342342342343
2020-02-21 22:30:00,2020-02-18,AUD,-0.1999253154090315,71.875
2020-02-28 22:30:00,2020-02-25,AUD,-0.20556524347940222,70.35398230088495
2020-03-06 22:30:00,2020-03-03,AUD,-0.23288537053307273,68.85964912280701
2020-03-13 22:30:00,2020-03-10,AUD,-0.2556913128482364,63.91304347826087
2020-03-20 22:30:00,2020-03-17,AUD,-0.19170925686224796,73.70689655172414
2020-03-27 22:30:00,2020-03-24,AUD,-0.18658445413295632,73.93162393162393
2020-04-03 22:30:00,2020-03-31,AUD,-0.24174314027881694,65.67796610169492
2020-04-10 22:30:00,2020-04-07,AUD,-0.2721750630497632,57.563025210084035
2020-04-17 22:30:00,2020-04-14,AUD,-0.27720687988273635,55.416666666666664
2020-04-24 22:30:00,2020-04-21,AUD,-0.27595498494214615,55.78512396694215
2020-05-01 22:30:00,2020-04-28,AUD,-0.29219894396184637,47.131147540983605
2020-05-08 22:30:00,2020-05-05,AUD,-0.25875337411924854,63.00813008130081
2020-05-15 22:30:00,2020-05-12,AUD,-0.2740515534100755,56.04838709677419
2020-05-22 22:30:00,2020-05-19,AUD,-0.29788323531405075,42.0
2020-05-29 22:30:00,2020-05-26,AUD,-0.29607069821793747,44.84126984126984
2020-06-05 22:30:00,2020-06-02,AUD,-0.3013118822851571,40.55118110236221
2020-06-12 22:30:00,2020-06-09,AUD,-0.26325070536074163,62.890625
2020-06-19 22:30:00,2020-06-16,AUD,-0.07193594925277799,87.20930232558139
2020-06-26 22:30:00,2020-06-23,AUD,-0.051289159966731356,87.3076923076923
2020-07-03 22:30:00,2020-06-30,AUD,-0.028889904428858113,88.16793893129771
2020-07-10 22:30:00,2020-07-07,AUD,-0.006602292727013271,90.53030303030303
2020-07-17 22:30:00,2020-07-14,AUD,0.039631843486856215,92.10526315789474
2020-07-24 22:30:00,2020-07-21,AUD,-0.0018815625229458843,89.92537313432835
2020-07-31 22:30:00,2020-07-28,AUD,-0.04408789430164846,84.81481481481481
2020-08-07 22:30:00,2020-08-04,AUD,-0.008713437650697573,87.86764705882354
2020-08-14 22:30:00,2020-08-11,AUD,-0.028541035921773997,85.76642335766424
2020-08-21 22:30:00,2020-08-18,AUD,-0.026414580848628442,87.31884057971014
2020-08-28 22:30:00,2020-08-25,AUD,-0.030579192972824597,83.81294964028777
2020-09-04 22:30:00,2020-09-01,AUD,-0.0012032290291764808,90.35714285714286
2020-09-11 22:30:00,2020-09-08,AUD,-0.014185480009160877,86.87943262411348
2020-09-18 22:30:00,2020-09-15,AUD,0.12304459313881681,98.94366197183099
2020-09-25 22:30:00,2020-09-22,AUD,0.12265227378503761,98.25174825174825
2020-10-02 22:30:00,2020-09-29,AUD,0.06957679372197309,92.01388888888889
2020-10-09 22:30:00,2020-10-06,AUD,0.08210022782491541,94.13793103448276
2020-10-16 22:30:00,2020-10-13,AUD,0.02807380482368281,88.6986301369863
2020-10-23 22:30:00,2020-10-20,AUD,0.05032781999701982,90.81632653061224
2020-10-30 22:30:00,2020-10-27,AUD,0.06819524244214144,90.87837837837837
2020-11-06 22:30:00,2020-11-03,AUD,-0.009780278670953912,82.88590604026845
2020-11-13 22:30:00,2020-11-10,AUD,-0.06676109175822073,75.66666666666667
2020-11-20 22:30:00,2020-11-17,AUD,-0.047195480086636814,76.49006622516556
2020-11-27 22:30:00,2020-11-24,AUD,-0.040119819662284936,77.30263157894737
2020-12-04 22:30:00,2020-12-01,AUD,-0.08261491505197856,73.52941176470588
2020-12-11 22:30:00,2020-12-08,AUD,-0.06305839780384327,75.0
2020-12-18 22:30:00,2020-12-15,AUD,-0.07341594759715311,73.2258064516129
2020-12-24 22:30:00,2020-12-21,AUD,-0.03248954144089168,78.52564102564102
2021-01-01 22:30:00,2020-12-29,AUD,-0.047039599736821175,75.96153846153847
2021-01-08 22:30:00,2021-01-05,AUD,-0.026743238895771872,82.37179487179488
2021-01-15 22:30:00,2021-01-12,AUD,0.03772802080019915,90.06410256410257
2021-01-22 22:30:00,2021-01-19,AUD,0.033683801972512355,90.06410256410257
2021-01-29 22:30:00,2021-01-26,AUD,0.005388857436413579,88.78205128205128
2021-02-05 22:30:00,2021-02-02,AUD,-0.01028434424160848,84.2948717948718
2021-02-12 22:30:00,2021-02-09,AUD,-0.0015373993750756245,88.14102564102564
2021-02-19 22:30:00,2021-02-16,AUD,-0.020013621465158848,83.65384615384616
2021-02-26 22:30:00,2021-02-23,AUD,-0.011262486145627526,84.93589743589743
2021-03-05 22:30:00,2021-03-02,AUD,0.04029912477318817,94.55128205128206
2021-03-12 22:30:00,2021-03-09,AUD,0.05371515998137431,95.1923076923077
2021-03-19 22:30:00,2021-03-16,AUD,0.0588776164610071,95.83333333333333
2021-03-26 22:30:00,2021-03-23,AUD,0.044584171193613256,94.55128205128206
2021-04-02 22:30:00,2021-03-30,AUD,0.08929260567226126,98.3974358974359
2021-04-09 22:30:00,2021-04-06,AUD,0.029631680974799224,90.7051282051282
2021-04-16 22:30:00,2021-04-13,AUD,0.026920570352280623,89.42307692307692
2021-04-23 22:30:00,2021-04-20,AUD,-0.01326312542686554,83.01282051282051
2021-04-30 22:30:00,2021-04-27,AUD,-0.010018758526603002,84.2948717948718
2021-05-07 22:30:00,2021-05-04,AUD,0.01072292570232984,88.78205128205128
2021-05-14 22:30:00,2021-05-11,AUD,0.017146060877032368,88.78205128205128
2021-05-21 22:30:00,2021-05-18,AUD,0.02184289414709392,88.78205128205128
2021-05-28 22:30:00,2021-05-25,AUD,-0.006001928926478225,84.2948717948718
2021-06-04 22:30:00,2021-06-01,AUD,-0.01424006154665562,78.52564102564102
2021-06-11 22:30:00,2021-06-08,AUD,-0.06348896663078579,69.55128205128206
2021-06-18 22:30:00,2021-06-15,AUD,-0.14403441359143526,65.06410256410257
2021-06-25 22:30:00,2021-06-22,AUD,-0.11889942765908507,66.34615384615384
2021-07-02 22:30:00,2021-06-29,AUD,-0.12670662433621388,65.7051282051282
2021-07-09 22:30:00,2021-07-06,AUD,-0.16877952114664205,62.5
2021-07-16 22:30:00,2021-07-13,AUD,-0.18454437642232122,59.93589743589744
2021-07-23 22:30:00,2021-07-20,AUD,-0.21818870969714013,54.80769230769231
2021-07-30 22:30:00,2021-07-27,AUD,-0.23443160152526216,52.88461538461539
2021-08-06 22:30:00,2021-08-03,AUD,-0.24299984107270042,50.96153846153846
2021-08-13 22:30:00,2021-08-10,AUD,-0.2871341896565779,36.85897435897436
2021-08-20 22:30:00,2021-08-17,AUD,-0.26941716413120226,43.91025641025641
2021-08-27 22:30:00,2021-08-24,AUD,-0.28638507154566983,36.85897435897436
2021-09-03 22:30:00,2021-08-31,AUD,-0.32994661804441905,21.474358974358974
2021-09-10 22:30:00,2021-09-07,AUD,-0.406308362730857,6.730769230769231
2021-09-17 22:30:00,2021-09-14,AUD,-0.5061890279067791,0.32051282051282054
2021-09-24 22:30:00,2021-09-21,AUD,-0.4613891704224441,1.6025641025641026
2021-10-01 22:30:00,2021-09-28,AUD,-0.47759980980709793,0.9615384615384616
2021-10-08 22:30:00,2021-10-05,AUD,-0.47685899168481805,1.6025641025641026
2021-10-15 22:30:00,2021-10-12,AUD,-0.4923678708720185,0.9615384615384616
2021-10-22 22:30:00,2021-10-19,AUD,-0.479767364111751,1.6025641025641026
2021-10-29 22:30:00,2021-10-26,AUD,-0.47025516995706546,3.5256410256410255
2021-11-05 22:30:00,2021-11-02,AUD,-0.46348411178232896,4.166666666666667
2021-11-12 22:30:00,2021-11-09,AUD,-0.4032835460262353,6.730769230769231
2021-11-19 22:30:00,2021-11-16,AUD,-0.3668710405068151,13.782051282051283
2021-11-26 22:30:00,2021-11-23,AUD,-0.3364568985231316,20.192307692307693
2021-12-03 22:30:00,2021-11-30,AUD,-0.3969927864502107,7.371794871794871
2021-12-10 22:30:00,2021-12-07,AUD,-0.3855385340560924,8.653846153846153
2021-12-17 22:30:00,2021-12-14,AUD,-0.3997011220587118,7.371794871794871
2021-12-24 22:30:00,2021-12-21,AUD,-0.42002205855448516,5.448717948717949
2021-12-31 22:30:00,2021-12-28,AUD,-0.4463014326897877,5.448717948717949
2022-01-07 22:30:00,2022-01-04,AUD,-0.4961828246542333,0.9615384615384616
2022-01-14 22:30:00,2022-01-11,AUD,-0.49331097366987864,1.6025641025641026
2022-01-21 22:30:00,2022-01-18,AUD,-0.488329211200424,2.8846153846153846
2022-01-28 22:30:00,2022-01-25,AUD,-0.4382328175981476,8.012820512820513
2022-02-04 22:30:00,2022-02-01,AUD,-0.40540238582521215,9.935897435897436
2022-02-11 22:30:00,2022-02-08,AUD,-0.4365564680783898,8.653846153846153
2022-02-18 22:30:00,2022-02-15,AUD,-0.45017603256862154,7.371794871794871
2022-02-25 22:30:00,2022-02-22,AUD,-0.4366000446569979,9.294871794871796
2022-03-04 22:30:00,2022-03-01,AUD,-0.4130186062941893,11.217948717948717
2022-03-11 22:30:00,2022-03-08,AUD,-0.39673962677707086,15.705128205128204
2022-03-18 22:30:00,2022-03-15,AUD,-0.3602283952104464,25.32051282051282
2022-03-25 22:30:00,2022-03-22,AUD,-0.4006433586137266,14.423076923076923
2022-04-01 22:30:00,2022-03-29,AUD,-0.34687812484703545,27.243589743589745
2022-04-08 22:30:00,2022-04-05,AUD,-0.2519375679995702,50.32051282051282
2022-04-15 22:30:00,2022-04-12,AUD,-0.19024241581036047,58.65384615384615
2022-04-22 22:30:00,2022-04-19,AUD,-0.1957585755113401,57.37179487179487
2022-04-29 22:30:00,2022-04-26,AUD,-0.18798694676728533,58.65384615384615
2022-05-06 22:30:00,2022-05-03,AUD,-0.1872885975685847,58.65384615384615
2022-05-13 22:30:00,2022-05-10,AUD,-0.2722686004085922,42.62820512820513
2022-05-20 22:30:00,2022-05-17,AUD,-0.2725247086545916,41.98717948717949
2022-05-27 22:30:00,2022-05-24,AUD,-0.2865176685685465,36.85897435897436
2022-06-03 22:30:00,2022-05-31,AUD,-0.31681428599319283,27.884615384615383
2022-06-10 22:30:00,2022-06-07,AUD,-0.2877984881806492,35.57692307692308
2022-06-17 22:30:00,2022-06-14,AUD,-0.30277830277830275,29.166666666666668
2022-06-24 22:30:00,2022-06-21,AUD,-0.29635738630972797,30.44871794871795
2022-07-01 22:30:00,2022-06-28,AUD,-0.3072392076688279,26.602564102564102
2022-07-08 22:30:00,2022-07-05,AUD,-0.3240626063286832,24.03846153846154
2022-07-15 22:30:00,2022-07-12,AUD,-0.2628536044432369,44.55128205128205
2022-07-22 22:30:00,2022-07-19,AUD,-0.2779330868428172,38.14102564102564
2022-07-29 22:30:00,2022-07-26,AUD,-0.30283179845724184,26.602564102564102
2022-08-05 22:30:00,2022-08-02,AUD,-0.33317255301284454,22.115384615384617
2022-08-12 22:30:00,2022-08-09,AUD,-0.3642504743833017,18.91025641025641
2022-08-19 22:30:00,2022-08-16,AUD,-0.3701958824080727,16.987179487179485
2022-08-26 22:30:00,2022-08-23,AUD,-0.3547502541190932,19.55128205128205
2022-09-02 22:30:00,2022-08-30,AUD,-0.3390678631983789,20.833333333333332
2022-09-09 22:30:00,2022-09-06,AUD,-0.3170025584631267,24.03846153846154
2022-09-16 22:30:00,2022-09-13,AUD,-0.3173566957599829,24.03846153846154
2022-09-23 22:30:00,2022-09-20,AUD,-0.26939632266978425,43.26923076923077
2022-09-30 22:30:00,2022-09-27,AUD,-0.22752969448657592,52.243589743589745
2022-10-07 22:30:00,2022-10-04,AUD,-0.19903935766004732,54.80769230769231
2022-10-14 22:30:00,2022-10-11,AUD,-0.2260772122614228,51.6025641025641
2022-10-21 22:30:00,2022-10-18,AUD,-0.23494976610674037,48.3974358974359
2022-10-28 22:30:00,2022-10-25,AUD,-0.3081318391720222,25.96153846153846
2022-11-04 22:30:00,2022-11-01,AUD,-0.305493588697245,27.243589743589745
2022-11-11 22:30:00,2022-11-08,AUD,-0.2872393445850741,34.294871794871796
2022-11-18 22:30:00,2022-11-15,AUD,-0.2754801772962325,38.782051282051285
2022-11-25 22:30:00,2022-11-22,AUD,-0.27285771681111176,40.06410256410256
2022-12-02 22:30:00,2022-11-29,AUD,-0.28002610146946255,36.85897435897436
2022-12-09 22:30:00,2022-12-06,AUD,-0.2555069131680892,47.11538461538461
2022-12-16 22:30:00,2022-12-13,AUD,-0.21963905287660576,53.52564102564103
2022-12-23 22:30:00,2022-12-20,AUD,-0.2639335891564028,43.26923076923077
2022-12-30 22:30:00,2022-12-27,AUD,-0.2847710824722319,35.57692307692308
2023-01-06 22:30:00,2023-01-03,AUD,-0.2727662454873646,40.705128205128204
2023-01-13 22:30:00,2023-01-10,AUD,-0.26732154759259846,44.55128205128205
2023-01-20 22:30:00,2023-01-17,AUD,-0.2622198996981585,47.11538461538461
2023-01-27 22:30:00,2023-01-24,AUD,-0.25616649934357866,48.3974358974359
2023-02-03 22:30:00,2023-01-31,AUD,-0.2244394882028407,55.44871794871795
2023-02-10 22:30:00,2023-02-07,AUD,-0.22664225924552037,54.80769230769231
