measured_at_utc,event,arm,symbol,trade_id,bar_time,side,entry_price,stop_price,target_price,size_lots,risk_ccy,exit_price,exit_reason,pnl_r,pnl_ccy,capital_after,chain
2026-09-07T06:18:23Z,OPEN,OBSERVATION,EURJPY,EURJPY_LONG_20260904,2026-09-04T00:00:00,LONG,181.45900,179.97264,182.89936,0.1004,100.00,,,,,10000.00,d0ebd3ba6cd5e677b216926dcf37b2eae9facd584ebbe6079ab8f58db2ad4f72
2026-09-08T06:27:06Z,CLOSE,OBSERVATION,EURJPY,EURJPY_LONG_20260904,2026-09-07T00:00:00,LONG,181.45900,179.97264,182.89936,0.1004,100.00,179.97264,SL,-1.0155,-101.55,9898.45,ed9d2c65e238847da3b31a5e3beb1db44870c179c79d14c03dda973fd5056583
2026-09-08T06:27:06Z,OPEN,OBSERVATION,EURJPY,EURJPY_LONG_20260907,2026-09-07T00:00:00,LONG,179.41600,177.84971,180.93629,0.0943,98.98,,,,,9898.45,c305df0a9900613935e36a7b6680354738a545ce199633b99403928a42a40cc1
2026-09-09T06:36:11Z,CLOSE,OBSERVATION,EURJPY,EURJPY_LONG_20260907,2026-09-08T00:00:00,LONG,179.41600,177.84971,180.93629,0.0943,98.98,177.84971,SL,-1.0147,-100.44,9798.01,780525f9b83c8d778051fd3e86f465fff8f759a0ab5e6ff61c5bdeda4be8ed11
2026-09-09T06:36:11Z,OPEN,OBSERVATION,EURJPY,EURJPY_LONG_20260908,2026-09-08T00:00:00,LONG,178.91400,177.23264,180.54936,0.0870,97.98,,,,,9798.01,3e9096e28c6f61cc9999bb900a0b241256444d2994035f8a0e11b0ae732c6ae9
