pair,run,family,direction,label,params,n_full,full_r,full_rpt,oos_w1,oos_w2,oos_w3,oos_w4,honest_r,oos_trades,oos_rpt,strict,ctrl_pctile,ctrl_null_med,ctrl_null_p95,ctrl_eff_ok,ctrl_beta
USDCHF,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down4_range_filterFalse,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",273,-13.571,-0.04971,1.239,-2.273,5.808,-10.834,-6.059,99,-0.0612,0,,,,,
USDCHF,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down4_range_filterTrue,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",250,-5.933,-0.02373,2.261,-2.12,4.886,-9.816,-4.788,92,-0.05205,0,,,,,
USDCHF,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down5_range_filterFalse,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",248,-25.659,-0.10346,0.321,-11.087,7.908,-9.82,-12.678,94,-0.13487,0,,,,,
USDCHF,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down5_range_filterTrue,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",230,-17.13,-0.07448,3.299,-9.811,6.945,-8.801,-8.367,84,-0.09961,0,,,,,
USDCHF,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down3_range_filterFalse,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",184,-6.949,-0.03776,0.35,-1.701,2.943,-2.317,-0.725,71,-0.0102,0,79.0,-3.609,3.636,0,
USDCHF,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down3_range_filterTrue,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",168,-4.006,-0.02385,0.715,-2.947,2.294,-1.943,-1.881,64,-0.02939,0,,,,,
USDCHF,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down4_range_filterFalse,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",165,-9.251,-0.05607,-1.576,-2.637,2.947,-2.961,-4.226,63,-0.06708,0,,,,,
USDCHF,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down4_range_filterTrue,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",158,-3.867,-0.02447,0.072,-2.623,2.297,-1.949,-2.203,61,-0.03612,0,,,,,
USDCHF,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down5_range_filterFalse,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",166,-11.916,-0.07178,-2.213,-3.743,2.942,-2.59,-5.603,61,-0.09185,0,,,,,
USDCHF,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down5_range_filterTrue,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",158,-7.153,-0.04527,-2.213,-2.721,2.292,-1.579,-4.221,58,-0.07277,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym3_familymr_n_down3_range_filterFalse,"{'direction': 'short', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",306,-6.229,-0.02036,-1.961,-0.319,-1.669,-3.518,-7.466,138,-0.0541,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym3_familymr_n_down3_range_filterTrue,"{'direction': 'short', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",244,-5.011,-0.02054,-2.515,0.514,0.632,-3.712,-5.081,105,-0.04839,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym3_familymr_n_down4_range_filterFalse,"{'direction': 'short', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",273,-7.198,-0.02637,-1.866,0.493,-1.364,-3.083,-5.821,122,-0.04771,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym3_familymr_n_down4_range_filterTrue,"{'direction': 'short', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",224,-8.07,-0.03603,-2.56,0.161,0.061,-3.433,-5.771,96,-0.06011,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym3_familymr_n_down5_range_filterFalse,"{'direction': 'short', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",250,-10.132,-0.04053,-2.325,-0.122,-2.386,-2.451,-7.284,113,-0.06446,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym3_familymr_n_down5_range_filterTrue,"{'direction': 'short', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",207,-9.332,-0.04508,-2.84,-0.72,-0.727,-2.9,-7.187,89,-0.08075,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym10_familymr_n_down3_range_filterFalse,"{'direction': 'short', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",181,2.026,0.01119,-0.684,0.07,0.507,-0.345,-0.452,79,-0.00572,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym10_familymr_n_down3_range_filterTrue,"{'direction': 'short', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",148,2.924,0.01976,-0.702,1.135,0.71,-0.401,0.742,63,0.01177,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym10_familymr_n_down4_range_filterFalse,"{'direction': 'short', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",170,2.373,0.01396,-0.684,1.115,0.401,-0.341,0.491,74,0.00664,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym10_familymr_n_down4_range_filterTrue,"{'direction': 'short', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",139,2.042,0.01469,-0.702,1.029,0.539,-0.449,0.417,57,0.00731,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym10_familymr_n_down5_range_filterFalse,"{'direction': 'short', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",159,1.24,0.0078,-0.684,0.929,0.129,-0.48,-0.106,69,-0.00153,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitsym10_familymr_n_down5_range_filterTrue,"{'direction': 'short', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",130,1.033,0.00794,-0.702,0.762,0.302,-0.562,-0.2,52,-0.00385,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitatr_1.5_1.5_familymr_n_down3_range_filterFalse,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",285,-26.364,-0.09251,-2.225,3.953,-7.145,-6.398,-11.815,125,-0.09452,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitatr_1.5_1.5_familymr_n_down3_range_filterTrue,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",250,-30.054,-0.12021,-3.994,1.22,-5.028,-6.229,-14.031,108,-0.12991,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitatr_1.5_1.5_familymr_n_down4_range_filterFalse,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",254,-22.508,-0.08861,-5.895,4.977,-9.058,-4.2,-14.175,110,-0.12887,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitatr_1.5_1.5_familymr_n_down4_range_filterTrue,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",226,-27.46,-0.1215,-6.814,2.158,-6.855,-5.061,-16.572,97,-0.17085,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitatr_1.5_1.5_familymr_n_down5_range_filterFalse,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",233,-34.54,-0.14824,-7.858,4.016,-8.923,-4.034,-16.798,101,-0.16631,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitatr_1.5_1.5_familymr_n_down5_range_filterTrue,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",209,-39.682,-0.18987,-6.818,0.255,-6.797,-4.977,-18.337,91,-0.2015,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down3_range_filterFalse,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",164,9.828,0.05993,-0.328,1.095,1.569,0.232,2.568,71,0.03616,0,76.5,0.36,6.699,0,
USDCHF,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down3_range_filterTrue,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",146,3.189,0.02184,-0.328,1.462,0.016,-1.047,0.102,62,0.00165,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down4_range_filterFalse,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",151,6.335,0.04195,-1.606,2.747,1.3,-0.411,2.031,65,0.03124,0,66.0,0.123,7.414,0,
USDCHF,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down4_range_filterTrue,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",140,2.54,0.01815,-1.606,2.744,1.024,-1.69,0.471,60,0.00785,0,,,,,
USDCHF,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down5_range_filterFalse,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",147,5.348,0.03638,-1.606,3.389,1.946,-2.332,1.397,64,0.02183,0,66.0,0.03,6.756,0,
USDCHF,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down5_range_filterTrue,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",135,2.566,0.01901,-1.606,1.459,3.323,-2.973,0.203,57,0.00356,0,,,,,
USDCHF,B_cross,cross,long,directionlong_exitatr_1.5_1.5_familycross_triggersig,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",200,1.543,0.00772,-2.768,-8.737,0.26,0.245,-11.0,82,-0.13414,0,18.5,-4.877,7.116,1,
USDCHF,B_cross,cross,long,directionlong_exitatr_1.5_1.5_familycross_triggerzero,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",104,-5.419,-0.05211,-2.383,-5.359,4.381,-2.293,-5.654,44,-0.12851,0,,,,,
USDCHF,B_cross,cross,long,directionlong_exitatr_2_3_familycross_triggersig,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",148,-6.675,-0.0451,-1.882,-2.724,1.401,0.607,-2.598,58,-0.0448,0,,,,,
USDCHF,B_cross,cross,long,directionlong_exitatr_2_3_familycross_triggerzero,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",83,-7.797,-0.09395,-0.292,-1.489,4.141,-2.119,0.241,31,0.00779,0,,,,,
USDCHF,B_cross,cross,short,directionshort_exitatr_1.5_1.5_familycross_triggersig,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",199,-6.454,-0.03243,-2.756,-1.026,-0.619,5.526,1.124,83,0.01354,0,68.5,-2.516,11.811,1,
USDCHF,B_cross,cross,short,directionshort_exitatr_1.5_1.5_familycross_triggerzero,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",102,8.315,0.08152,2.557,1.452,-6.454,4.611,2.166,44,0.04923,0,,,,,
USDCHF,B_cross,cross,short,directionshort_exitatr_2_3_familycross_triggersig,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",147,8.437,0.0574,-1.025,-0.62,0.765,0.897,0.016,57,0.00029,0,,,,,
USDCHF,B_cross,cross,short,directionshort_exitatr_2_3_familycross_triggerzero,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",78,12.339,0.15819,0.537,2.451,-2.747,2.562,2.803,28,0.10009,0,,,,,
USDCHF,B_hold,cross,long,directionlong_exithold20_sl3_familycross_triggersig,"{'direction': 'long', 'exit': 'hold20_sl3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",167,-5.403,-0.03235,-0.853,-4.72,0.675,1.621,-3.276,68,-0.04818,0,59.5,-4.222,4.474,1,
USDCHF,B_hold,cross,long,directionlong_exithold20_sl3_familycross_triggerzero,"{'direction': 'long', 'exit': 'hold20_sl3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",94,-10.162,-0.10811,-0.292,-5.534,0.521,-1.584,-6.889,38,-0.1813,0,,,,,
USDCHF,B_hold,cross,short,directionshort_exithold20_sl3_familycross_triggersig,"{'direction': 'short', 'exit': 'hold20_sl3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",163,10.731,0.06584,-0.948,-0.87,0.98,3.767,2.928,70,0.04183,0,57.5,2.004,10.561,0,
USDCHF,B_hold,cross,short,directionshort_exithold20_sl3_familycross_triggerzero,"{'direction': 'short', 'exit': 'hold20_sl3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",92,-3.423,-0.0372,1.163,-0.913,-5.559,5.491,0.181,38,0.00478,0,,,,,
USDCHF,C_ext,ext,long,directionlong_exitsym3_familyext_lookback126_q0.05,"{'direction': 'long', 'exit': 'sym3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",147,0.084,0.00057,-3.596,0.296,0.429,0.904,-1.966,75,-0.02621,0,36.0,-0.841,3.861,1,
USDCHF,C_ext,ext,long,directionlong_exitsym3_familyext_lookback126_q0.1,"{'direction': 'long', 'exit': 'sym3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",194,4.474,0.02306,-2.547,0.806,0.98,-0.318,-1.079,92,-0.01172,0,58.0,-1.724,4.499,1,
USDCHF,C_ext,ext,long,directionlong_exitsym3_familyext_lookback252_q0.05,"{'direction': 'long', 'exit': 'sym3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",123,6.074,0.04939,0.165,0.813,0.974,1.263,3.216,52,0.06184,1,,,,,
USDCHF,C_ext,ext,long,directionlong_exitsym3_familyext_lookback252_q0.1,"{'direction': 'long', 'exit': 'sym3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",185,5.679,0.0307,-1.101,1.68,-0.216,1.644,2.006,66,0.0304,0,84.0,-1.19,3.79,1,
USDCHF,C_ext,ext,long,directionlong_exitatr_1.5_1.5_familyext_lookback126_q0.05,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",115,7.202,0.06263,-3.71,-0.473,4.668,-1.544,-1.059,55,-0.01926,0,,,,,
USDCHF,C_ext,ext,long,directionlong_exitatr_1.5_1.5_familyext_lookback126_q0.1,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",167,1.586,0.00949,-6.056,-3.777,6.535,-3.731,-7.03,82,-0.08573,0,,,,,
USDCHF,C_ext,ext,long,directionlong_exitatr_1.5_1.5_familyext_lookback252_q0.05,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",81,8.379,0.10345,3.703,3.637,2.767,-2.332,7.775,31,0.25081,0,,,,,
USDCHF,C_ext,ext,long,directionlong_exitatr_1.5_1.5_familyext_lookback252_q0.1,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",144,15.463,0.10738,1.539,0.204,4.698,2.421,8.861,57,0.15546,1,,,,,
USDCHF,C_ext,ext,long,directionlong_exitatr_2_3_familyext_lookback126_q0.05,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",68,0.89,0.01309,-1.862,0.746,1.581,-0.191,0.273,33,0.00828,0,,,,,
USDCHF,C_ext,ext,long,directionlong_exitatr_2_3_familyext_lookback126_q0.1,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",93,-2.805,-0.03016,-3.536,-0.069,3.502,-0.933,-1.036,45,-0.02302,0,,,,,
USDCHF,C_ext,ext,long,directionlong_exitatr_2_3_familyext_lookback252_q0.05,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",48,9.509,0.19809,1.929,1.549,1.584,1.828,6.89,21,0.32811,1,,,,,
USDCHF,C_ext,ext,long,directionlong_exitatr_2_3_familyext_lookback252_q0.1,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",80,5.419,0.06773,-1.401,-0.153,0.944,2.475,1.866,31,0.06018,0,,,,,
USDCHF,C_ext,ext,short,directionshort_exitsym3_familyext_lookback126_q0.05,"{'direction': 'short', 'exit': 'sym3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",120,-14.407,-0.12006,-3.404,-0.255,-1.581,-1.952,-7.192,55,-0.13076,0,,,,,
USDCHF,C_ext,ext,short,directionshort_exitsym3_familyext_lookback126_q0.1,"{'direction': 'short', 'exit': 'sym3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",167,-15.001,-0.08983,-4.707,-0.091,-1.046,-1.182,-7.026,77,-0.09124,0,9.5,-2.745,2.709,1,
USDCHF,C_ext,ext,short,directionshort_exitsym3_familyext_lookback252_q0.05,"{'direction': 'short', 'exit': 'sym3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",94,-8.578,-0.09126,-2.044,-0.563,-1.466,1.007,-3.065,48,-0.06386,0,,,,,
USDCHF,C_ext,ext,short,directionshort_exitsym3_familyext_lookback252_q0.1,"{'direction': 'short', 'exit': 'sym3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",148,-8.335,-0.05632,-1.268,-1.0,-1.577,-0.53,-4.375,72,-0.06076,0,22.0,-2.25,2.741,1,
USDCHF,C_ext,ext,short,directionshort_exitatr_1.5_1.5_familyext_lookback126_q0.05,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",110,-25.611,-0.23283,-9.543,1.566,-2.36,-5.447,-15.785,50,-0.3157,0,,,,,
USDCHF,C_ext,ext,short,directionshort_exitatr_1.5_1.5_familyext_lookback126_q0.1,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",158,-31.11,-0.1969,-9.648,1.391,-4.416,-5.841,-18.514,68,-0.27227,0,,,,,
USDCHF,C_ext,ext,short,directionshort_exitatr_1.5_1.5_familyext_lookback252_q0.05,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",89,-17.892,-0.20104,-4.449,-0.444,-5.135,-1.516,-11.544,42,-0.27486,0,,,,,
USDCHF,C_ext,ext,short,directionshort_exitatr_1.5_1.5_familyext_lookback252_q0.1,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",144,-16.905,-0.1174,-3.592,-0.681,-0.511,-1.827,-6.611,66,-0.10016,0,29.0,-2.761,7.032,1,
USDCHF,C_ext,ext,short,directionshort_exitatr_2_3_familyext_lookback126_q0.05,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",67,-4.826,-0.07203,-1.5,1.15,0.195,-1.484,-1.639,31,-0.05287,0,,,,,
USDCHF,C_ext,ext,short,directionshort_exitatr_2_3_familyext_lookback126_q0.1,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",84,-7.05,-0.08393,-3.147,1.792,0.195,-1.852,-3.013,34,-0.08862,0,,,,,
USDCHF,C_ext,ext,short,directionshort_exitatr_2_3_familyext_lookback252_q0.05,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",51,-6.841,-0.13414,-2.134,0.518,-1.37,-2.132,-5.118,23,-0.22253,0,,,,,
USDCHF,C_ext,ext,short,directionshort_exitatr_2_3_familyext_lookback252_q0.1,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",76,-3.962,-0.05214,-1.499,0.769,-0.816,-0.206,-1.752,36,-0.04866,0,,,,,
AUDUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down3_range_filterFalse,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",275,-18.132,-0.06594,-5.01,-2.533,-3.833,-2.801,-14.178,125,-0.11342,0,,,,,
AUDUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down3_range_filterTrue,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",258,-9.707,-0.03762,-3.986,0.171,-2.845,-0.745,-7.405,119,-0.06223,0,,,,,
AUDUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down4_range_filterFalse,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",249,-15.925,-0.06395,-5.828,-0.954,-1.079,-3.399,-11.259,108,-0.10425,0,,,,,
AUDUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down4_range_filterTrue,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",219,-12.211,-0.05576,-4.65,-0.026,-0.259,-1.872,-6.807,94,-0.07241,0,,,,,
AUDUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down5_range_filterFalse,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",242,-10.388,-0.04293,-5.57,-0.965,2.837,-2.943,-6.64,108,-0.06148,0,,,,,
AUDUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down5_range_filterTrue,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",215,-6.298,-0.02929,-4.342,0.052,2.79,-1.617,-3.118,97,-0.03215,0,,,,,
AUDUSD,A_mr,mr,long,directionlong_exitsym10_familymr_n_down3_range_filterFalse,"{'direction': 'long', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",156,-4.14,-0.02654,-1.608,0.808,-0.385,-0.215,-1.4,67,-0.02089,0,,,,,
