pair,run,family,direction,label,params,n_full,full_r,full_rpt,oos_w1,oos_w2,oos_w3,oos_w4,honest_r,oos_trades,oos_rpt,strict,ctrl_pctile,ctrl_null_med,ctrl_null_p95,ctrl_eff_ok,ctrl_beta
USDJPY,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down4_range_filterFalse,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",175,-8.326,-0.04758,4.212,-0.271,-8.065,-5.225,-9.349,82,-0.11402,0,,,,,
USDJPY,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down4_range_filterTrue,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",169,-5.603,-0.03316,4.848,-1.533,-6.414,-2.922,-6.022,82,-0.07344,0,,,,,
USDJPY,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down5_range_filterFalse,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",160,-13.009,-0.08131,4.21,0.105,-9.988,-4.516,-10.189,73,-0.13958,0,,,,,
USDJPY,A_mr,mr,short,directionshort_exitatr_2_3_familymr_n_down5_range_filterTrue,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",155,-11.303,-0.07292,4.845,-0.523,-8.973,-3.871,-8.521,73,-0.11673,0,,,,,
USDJPY,B_cross,cross,long,directionlong_exitatr_1.5_1.5_familycross_triggersig,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",218,-31.177,-0.14301,-5.843,-9.525,-5.562,-3.432,-24.362,90,-0.27068,0,0.0,1.971,12.917,1,
USDJPY,B_cross,cross,long,directionlong_exitatr_1.5_1.5_familycross_triggerzero,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",93,1.563,0.0168,-2.397,-0.623,1.681,5.824,4.486,38,0.11805,0,,,,,
USDJPY,B_cross,cross,long,directionlong_exitatr_2_3_familycross_triggersig,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",149,-8.014,-0.05379,-1.951,-0.843,-1.687,3.13,-1.351,59,-0.0229,0,,,,,
USDJPY,B_cross,cross,long,directionlong_exitatr_2_3_familycross_triggerzero,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",76,-2.356,-0.031,-1.492,-0.018,3.861,3.922,6.272,26,0.24125,0,,,,,
USDJPY,B_cross,cross,short,directionshort_exitatr_1.5_1.5_familycross_triggersig,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",212,-19.549,-0.09221,-5.21,-7.244,-4.59,-0.549,-17.593,85,-0.20697,0,12.0,-10.034,2.688,1,
USDJPY,B_cross,cross,short,directionshort_exitatr_1.5_1.5_familycross_triggerzero,"{'direction': 'short', 'exit': 'atr_1.5_1.5', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",94,4.359,0.04637,-0.478,-1.677,-5.95,-2.111,-10.215,39,-0.26192,0,,,,,
USDJPY,B_cross,cross,short,directionshort_exitatr_2_3_familycross_triggersig,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",155,-6.005,-0.03875,0.927,-1.196,-2.902,-7.187,-10.357,65,-0.15934,0,26.0,-7.549,-0.194,0,
USDJPY,B_cross,cross,short,directionshort_exitatr_2_3_familycross_triggerzero,"{'direction': 'short', 'exit': 'atr_2_3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",79,1.206,0.01527,1.144,-1.91,-2.463,-1.063,-4.293,31,-0.13848,0,,,,,
USDJPY,B_hold,cross,long,directionlong_exithold20_sl3_familycross_triggersig,"{'direction': 'long', 'exit': 'hold20_sl3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",180,1.285,0.00714,-6.335,-3.173,5.04,5.286,0.818,72,0.01137,0,20.5,4.92,15.01,0,
